Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Arterolane-PQP Versus DHA-PQP in Uncomplicated Falciparum Malaria in Eastern Myanmar,,,,,,,,,,,,#2770,,Exclusion reason: Withdrawn; ,
Artemisone for the Treatment of Uncomplicated Falciparum Malaria in Western Cambodia,,,,,,,,,,,,#2772,,Exclusion reason: Withdrawn; ,
Artemisinin-based combination therapy during pregnancy: outcome of pregnancy and infant mortality: a cohort study,"Nambozi, M.; Tinto, H.; Mwapasa, V.; Tagbor, H.; Kabuya, J. B.; Hachizovu, S.; Traore, M.; Valea, I.; Tahita, M. C.; Ampofo, G.; Buyze, J.; Ravinetto, R.; Arango, D.; Thriemer, K.; Mulenga, M.; van Geertruyden, J. P.; D'Alessandro, U.","BACKGROUND: The World Health Organization (WHO) recommendation of treating uncomplicated malaria during the second and third trimester of pregnancy with an artemisinin-based combination therapy (ACT) has already been implemented by all sub-Saharan African countries. However, there is limited knowledge on the effect of ACT on pregnancy outcomes, and on newborn and infant's health.METHODS: Pregnant women with malaria in four countries (Burkina Faso, Ghana, Malawi and Zambia) were treated with either artemether-lumefantrine (AL), amodiaquine-artesunate (ASAQ), mefloquine-artesunate (MQAS), or dihydroartemisinin-piperaquine (DHA-PQ); 3127 live new-borns (822 in the AL, 775 in the ASAQ, 765 in the MQAS and 765 in the DHAPQ arms) were followed-up until their first birthday.RESULTS: Prevalence of placental malaria and low birth weight were 28.0% (738/2646) and 16.0% (480/2999), respectively, with no significant differences between treatment arms. No differences in congenital malformations (p = 0.35), perinatal mortality (p = 0.77), neonatal mortality (p = 0.21), and infant mortality (p = 0.96) were found.CONCLUSIONS: Outcome of pregnancy and infant survival were similar between treatment arms indicating that any of the four artemisinin-based combinations could be safely used during the second and third trimester of pregnancy without any adverse effect on the baby. Nevertheless, smaller safety differences between artemisinin-based combinations cannot be excluded; country-wide post-marketing surveillance would be very helpful to confirm such findings. Trial registration ClinicalTrials.gov, NCT00852423, Registered on 27 February 2009, https://clinicaltrials.gov/ct2/show/NCT00852423.",2019,Mar-28,Malaria Journal,18,1,105,30922317,https://dx.doi.org/10.1186/s12936-019-2737-7,,#2788,Nambozi 2019,Exclusion reason: Secondary analysis; ,
Artemether-Lumefantrine Effectiveness in Guinea-Bissau 2,,,,,,,,,,,,#2852,,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
Artemether-Lumefantrine Effectiveness in Guinea-Bissau,,,,,,,,,,,,#2853,,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
Arsucam® (Artesunate + Amiodaquine) Efficacy and TOLerance,,,,,,,,,,,,#2870,,Exclusion reason: Less than 28 days follow-up; ,
Apact trial: multicenter therapeutic efficacy assessment of pyronaridine-artesunate (PyramaxÂ®) and new drug combinations with atovaquoneproguanil for the treatment of uncomplicated plasmodium falciparum malaria in Cambodia,"Wojnarski, M.; Lon, C.; Sok, S.; Sea, D.; Jongsakul, K.; Spring, M.; Edgel, K. A.; Buathong, N.; Sriwichai, S.; Chann, S.; et al.,","Multi‐drug resistance (MDR) threatens malaria control in Southeast Asia, underscoring the need for identification of more effective drug combinations for Plasmodium falciparum (P.f). The APACT trial was launched in October 2018 in response to the growing threat that malaria may become untreatable by available drug combinations. The main objective is to assess the therapeutic efficacy of the latest approved artemisinin combination therapy, artesunate‐pyronaridine (ASPY), and novel multi‐drug combinations, atovaquone‐proguanil+ASPY (AP+ASPY) and atovaquone‐proguanil+artesunate‐mefloquine (AP+ASMQ) for P.f malaria. The study is being conducted at 2 sites in Cambodia, where study drugs are administered by directly observed therapy, with active followup for up to 8 weeks, after a minimum of 3 days inpatient treatment. Volunteers are randomized, open‐label, to one of three treatment arms, ASPY, AP+ASPY, and AP+ASMQ. The target sample size is 252. Among the first 24 volunteers who completed 6‐8 weeks follow up to date, we have observed 100% adequate clinical parasitological response rate against P.f malaria among all 3 treatment arms. Four volunteers (17%) had Plasmodium vivax recurrence consistent with the high rate of suspected liver stage P.vivax co‐infections in this area. Observed transient mild liver enzyme elevations are consistent with prior reports for the study drugs and none of the volunteers met Hy's Law criteria for liver toxicity. No serious adverse events were reported for the drug combinations thus far. Tolerability was high with 100% volunteers reporting that combination treatments were simple to take. Most volunteers (86%) reported that taking multiple tablets was acceptable and 76% were comfortable with taking the same drug regimen the next time they have malaria, while 19% preferred a shorter treatment course. Information on the efficacy, safety and tolerability, and community perceptions about the new drug combinations tested in this trial will be forthcoming, in our effort to respond to the growing threat in Southeast Asia of multidrug resistant malaria that may become untreatable with standard drug regimens.",2019,,American Journal of Tropical Medicine and Hygiene,101,5,582‐,CN-02075942,10.4269/ajtmh.abstract2019,,#2902,Wojnarski 2019,Exclusion reason: Conference abstract; ,
Anti-parasitic Activity and Safety Assessment of SAR97276A in Children With Uncomplicated Malaria,,,,,,,,,,,,#2967,,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
Absence of association between polymorphisms in the pfcoronin and pfk13 genes and the presence of Plasmodium falciparum parasites after treatment with artemisinin derivatives in Senegal,"Delandre, O.; Daffe, S. M.; Gendrot, M.; Diallo, M. N.; Madamet, M.; Kounta, M. B.; Diop, M. N.; Bercion, R.; Sow, A.; Ngom, P. M.; Lo, G.; Benoit, N.; Amalvict, R.; Fonta, I.; Mosnier, J.; Diawara, S.; Wade, K. A.; Fall, M.; Fall, K. B.; Fall, B.; Pradines, B.","Due to resistance to chloroquine and sulfadoxine-pyrimethamine, treatment for uncomplicated Plasmodium falciparum malaria switched to artemisinin-based combination therapy (ACT) in 2006 in Senegal. Several mutations in the gene coding the kelch13 helix (pfk13-propeller) were identified to be associated with in vitro and in vivo artemisinin resistance in Southeast Asia. Additionally, three mutations in the pfcoronin gene (G50E, R100K and E107V) have been identified in two culture-adapted Senegalese field isolates which became resistant in vitro to artemisinin after 4 years of intermittent selection with dihydroartemisinin. The aims of this study were first to assess the prevalence of pfcoronin and pfk13 mutations in Senegalese field isolates from Dakar and then to investigate their association with artemisinin derivatives clinical failures. A total of 348 samples of P. falciparum from 327 patients, collected from 2015 to 2019 in the Hopital Principal de Dakar, were successfully analyzed. All sequences had wild-type pfk13 allele. The three mutations (G50E, R100K and E107V), previously identified in reduced susceptibility parasites to artemisinin, were not found in the present study but a new mutation P76S was detected (mean prevalence 16.2%). The P76S mutation was identified in 5 of the 16 isolates (31.3%) collected from patients still parasitaemic on Day 3 after ACT treatment and in 31 samples among the 203 patients considered as successfully cured (15.3%). There was no significant association between in vivo reduced efficacy to artemisinin derivatives and the P76S mutation (p=0.151; Fisher's exact test). The present data suggest that polymorphisms on pfk13 and pfcoronin are not the best predictive markers for artemisinin resistance in Senegal.",2020,Oct-09,International Journal of Antimicrobial Agents,,,106190,33045351,https://dx.doi.org/10.1016/j.ijantimicag.2020.106190,,#2975,Delandre 2020,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
,"Mosnier, E.; Djossou, F.; Priam, R.; Demar, M.; Epelboin, L.; Carbunar, A.; Douine, M.; Gaillet, M.; Lazrek, Y.; Musset, L.","Introduction: Plasmodium vivax (Pv) et Plasmodium falciparum (Pf) sont les principales especes presentes en Guyane. Les principales difficultes d'elimination du paludisme dans la region sont la prevalence d'infections a Pv, a l'origine de reviviscences, ainsi que la presence de porteurs de gametocytes asymptomatiques representant un reservoir important de la maladie. Le but de cette etude etait d'evaluer l'impact de campagnes de depistage et de traitement bases sur la PCR pour la lutte contre le paludisme en population generale dans une zone d'endemie palustre. Materiels et methodes: Une etude avant-apres a ete menee dans 13 des 16 quartiers les plus touches (2727/4033 habitants) de la commune de Guyane la plus impactee par le paludisme, Saint Georges de l'Oyapock. Deux interventions de depistage de masse et de traitement cible ont ete mises en oeuvre a un an d'intervalle. Celles-ci reposaient sur la PCR pour la detection des cas et etaient suivie d'un traitement uniquement pour les personnes positives symptomatique ou non. Les participants ayants eu un test de diagnostic rapide (TDR) et/ou une PCR positive ont recu de l'artemether-lumefantrine pour le traitement des infections a Pf ou de la chloroquine et, en l'absence de contre-indication, de la primaquine pour le traitement des infections a Pv. L'incidence des cas de paludisme symptomatique a ete surveillee passivement par l'unique centre de sante un an avant la premiere intervention jusqu'a la fin de la deuxieme intervention. Resultats: Plus de la moitie des habitants appartenant aux quartiers selectionnes (1566/2727; 57,4 %) ont ete inclus dans l'etude, 1501 ont beneficie du premier depistage par PCR. Parmi ces derniers, 1276 (81,5 %) ont put etre suivis et participer egalement au deuxieme depistage. Au cours de la premiere intervention, le taux de prevalence par PCR etait de 6,7 % (6,0 % Pv, 0,7 % Pf avec 73 % de portage asymptomatique), contre 2,9 % (2,4 % Pv 0,5 % Pf avec 88 % de portage asymptomatique) au cours du deuxieme intervention (p < 0,005). Tous les participants testes positifs pour Pv ou Pf ont recu un traitement et aucun effet secondaire grave n'a ete signale. Lors de la premiere intervention, une importante epidemie saisonniere de paludisme intercurrente a ete reportee. Cependant, une diminution significative de l'incidence chez les participants a l'etude, entre les deux interventions, a ete observee en surveillance passive (95 a 43/1566 annees-personnes, p < 0,005) differemment de la population du village non participante temoin (38 a 59/2467 annees-personnes p = 0,24). Conclusion(s): En Guyane, les interventions de depistage de masse par PCR et de traitement sont faisable sur le plan operationnel et pourraient participer a reduire le portage et l'incidence des infections a Plasmodium sp. Les limites de cette etude comprennent les variations saisonnieres, le nombre de participants a l'etude, et la mobilite des habitants, qui peuvent avoir limites l'impact de l'intervention. Les strategies de control du paludisme qui utilise uniquement des TDR ou qui traitent uniquement les cas symptomatiques sont susceptibles de negliger une grande partie du reservoir. Copyright © 2020",2020,September,Medecine et Maladies Infectieuses,50 (6 Supplement),,S170,2007523572,http://dx.doi.org/10.1016/j.medmal.2020.06.364,,#3012,Mosnier 2020,Exclusion reason: Conference abstract; ,
